estado;titulo;sku_legacy;handle;ps_product_ids;ids_vivos;que_hace_falta;tamano;admin
NO_IMPORTABLE;Blue Gentle Waves On Ebony Wood Base Large;PS6179;p-5497-blue-gentle-waves-on-ebony-wood-base-large;CD322AB;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6179
NO_IMPORTABLE;Blue Leatherette Phone Easel;PS10094;p-8717-blue-leatherette-phone-easel;CM296BL;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS10094
NO_IMPORTABLE;Blue Marble Noble Plaque;PS6188;p-5506-blue-marble-noble-plaque;CD414;;sólo bajo una familia con comodín;;https://admin.shopify.com/store/trophy-partner/products?query=PS6188
NO_IMPORTABLE;Blue Rectangle Vapor Mist Award;PS6194;p-5512-blue-rectangle-vapor-mist-award;CD310AB CD310BB;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6194
NO_IMPORTABLE;Blue Sail Award with Clear Panel on Mirror and Black Base;PS6195;p-5513-blue-sail-award-with-clear-panel-on-mirror-and-black-base;GI656;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6195
NO_IMPORTABLE;Bottle Opener & Wine Corkscrew;PS10124;p-8724-bottle-opener-wine-corkscrew;CM376BS CM376BV CM376CK CM376DB CM376GR CM376LB CM376PK CM376RS CM376RW CM376TL;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS10124
NO_IMPORTABLE;Breakthrough Acrylic Star Award;PS8317;p-7902-breakthrough-acrylic-star-award;CD1214;;sin precio o sin ficha;;https://admin.shopify.com/store/trophy-partner/products?query=PS8317
NO_IMPORTABLE;Bright Silver Metal Cup on Marble Base;PS202;p-5266-bright-silver-metal-cup-on-marble-base;CM264A CM264B CM264C;;CM264: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS202
NO_IMPORTABLE;Brown Ceramic Mug;PS8327;p-7905-brown-ceramic-mug;CM705-43;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8327
NO_IMPORTABLE;Brushed Metal Design Metallic Imprint Ring Award;PS9632;p-8669-brushed-metal-design-metallic-imprint-ring-award;CD1250BLG CD1250BLS CD1250GRG CD1250GRS CD1250RDG CD1250RDS;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS9632
NO_IMPORTABLE;Burgundy Ceramic Mug;PS8329;p-7907-burgundy-ceramic-mug;CM704-43 CM707-209;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8329
NO_IMPORTABLE;Cascade Tower Award;PS10153;p-8726-cascade-tower-award;CD1024BL CD1024CL;;CD1024: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS10153
NO_IMPORTABLE;Clear Acrylic Circle on Clear Base Award;PS10174;p-8732-clear-acrylic-circle-on-clear-base-award;DCCD943A DCCD943B DCCD943C;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS10174
NO_IMPORTABLE;Clear Acrylic with Aluminum Alpine Award;PS8368;p-7918-clear-acrylic-with-aluminum-alpine-award;CD1104;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8368
NO_IMPORTABLE;Clear and Black Acrylic Alpine Award;PS8369;p-7919-clear-and-black-acrylic-alpine-award;CD1105A CD1105B;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8369
NO_IMPORTABLE;Clear Angular Vase;PS8372;p-7920-clear-angular-vase;G0989A G0989B;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8372
NO_IMPORTABLE;Clear Cascade Carved Acrylic Award;PS8377;p-7921-clear-cascade-carved-acrylic-award;CD1216;;sin precio o sin ficha;;https://admin.shopify.com/store/trophy-partner/products?query=PS8377
NO_IMPORTABLE;Clear Cascade Collection Lucite Award;PS6270;p-5588-clear-cascade-collection-lucite-award;C3450AC C3450BC;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6270
NO_IMPORTABLE;Clear Crystal Angular Award with Amber Center;PS8382;p-7923-clear-crystal-angular-award-with-amber-center;GI664A GI664B GI664C;;GI664: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS8382
NO_IMPORTABLE;Clear Crystal Diamond Face Award with Red Bottom;PS8387;p-7925-clear-crystal-diamond-face-award-with-red-bottom;GM749ARE GM749BRE GM749ABL GM749BBL;;GM749: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS8387
NO_IMPORTABLE;Clear Diamond Desk Award;PS6278;p-5596-clear-diamond-desk-award;C401;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6278
NO_IMPORTABLE;Clear Glass BonBon Bowl with Lid;PS6279;p-5597-clear-glass-bonbon-bowl-with-lid;GI653;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6279
NO_IMPORTABLE;Clear Glass Certificate Display;PS8402;p-7933-clear-glass-certificate-display;CM809;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8402
NO_IMPORTABLE;Clear Millennium Lucite Tower;PS6289;p-5607-clear-millennium-lucite-tower;C3150A C3150B;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6289
NO_IMPORTABLE;Clear Optic Crystal Tiered Pyramid on Black Base;PS6290;p-5608-clear-optic-crystal-tiered-pyramid-on-black-base;GM718A GM718B;;GM718: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS6290
NO_IMPORTABLE;Clear Vase;PS8422;p-7939-clear-vase;G0988A G0988B;;G0988: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS8422
NO_IMPORTABLE;Clipped Corner Bevel Glass Award and Marble Pillar Base;PS6293;p-5611-clipped-corner-bevel-glass-award-and-marble-pillar-base;GM723A GM723B;;GM723: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS6293
NO_IMPORTABLE;Clipped Corner Clear Crystal Paperweight;PS8425;p-7940-clipped-corner-clear-crystal-paperweight;GM825A GM825B GM825C;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8425
NO_IMPORTABLE;Clipped Corner Laser Edge Award;PS8426;p-7941-clipped-corner-laser-edge-award;CD912AC CD912BC;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8426
NO_IMPORTABLE;Coral Ceramic Mug;PS8430;p-7942-coral-ceramic-mug;CM704-3192 CM706-3192;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8430
NO_IMPORTABLE;Cork Luggage Tag;PS6303;p-5621-cork-luggage-tag;CM295CK;;sólo bajo una familia con comodín;;https://admin.shopify.com/store/trophy-partner/products?query=PS6303
NO_IMPORTABLE;Cork Wine Box;PS6310;p-5628-cork-wine-box;CM425CK;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6310
NO_IMPORTABLE;Cornerstone Excellence Optic Crystal Award;PS6312;p-5630-cornerstone-excellence-optic-crystal-award;GM401A GM401B GM401C;;GM401: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS6312
NO_IMPORTABLE;Crimson and Clear Optic Crystal Ribbon Award;PS6315;p-5633-crimson-and-clear-optic-crystal-ribbon-award;GM719A GM719B GM719C;;GM719: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS6315
NO_IMPORTABLE;Crossroads Plaque;PS10297;p-8739-crossroads-plaque;CD1041ABK CD1041ABL CD1041ARD CD1041BBK CD1041BBL CD1041BRD;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS10297
NO_IMPORTABLE;Crystal Card Paperweight w/ Digi;PS6319;p-5637-crystal-card-paperweight-w-digi;DCGM448;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6319
NO_IMPORTABLE;Crystal Clear Bowl;PS6322;p-5640-crystal-clear-bowl;GI633;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6322
NO_IMPORTABLE;Crystal Golf Ball and Green Accented Pin Award;PS8471;p-7955-crystal-golf-ball-and-green-accented-pin-award;GM671A GM671B GM671C;;GM671: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS8471
NO_IMPORTABLE;Crystal Iceberg Award Large;PS6328;p-5646-crystal-iceberg-award-large;GI639B;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6328
NO_IMPORTABLE;Crystal Iceberg Award Small;PS6329;p-5647-crystal-iceberg-award-small;GI639A;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6329
NO_IMPORTABLE;Crystal Pyramid;PS8475;p-7957-crystal-pyramid;GM827A GM827B;;GM827: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS8475
NO_IMPORTABLE;Crystal Tablet with Digi Large;PS10335;p-8742-crystal-tablet-with-digi-large;GI584AYD;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS10335
NO_IMPORTABLE;Crystal Tablet with Digi Small;PS10334;p-8741-crystal-tablet-with-digi-small;GI584BYD;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS10334
NO_IMPORTABLE;Crystal Tablet with Linear Accent;PS8485;p-7960-crystal-tablet-with-linear-accent;GM754A GM754B;;GM754: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS8485
NO_IMPORTABLE;Crystal Tablets with Digi Awards;PS6344;p-5662-crystal-tablets-with-digi-awards;DCGI540C;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6344
NO_IMPORTABLE;Crystal Tablets with Digi Color Award;PS6345;p-5663-crystal-tablets-with-digi-color-award;DCGI540B;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6345
