supplier_id;kind;paceSetter_line;name;part_of;claimed_by
CM707-2956;ORPHAN;CM707-2956;;;p-8126-orange-ceramic-mug
CM707-3415;ORPHAN;CM707-3415;;;p-8064-el-grande-green-ceramic-mug
CM707-84;ORPHAN;CM707-84;;;p-8146-purple-ceramic-mug-large
CM708-04;ORPHAN;CM708-04;;;p-7890-blue-ceramic-mug
CM708-05;ORPHAN;CM708-05;;;p-7876-black-ceramic-mug-large
CM708-11;ORPHAN;CM708-11;;;p-8064-el-grande-green-ceramic-mug
CM708-25;ORPHAN;CM708-25;;;p-8146-purple-ceramic-mug-large
CM708-2956;ORPHAN;CM708-2956;;;p-8126-orange-ceramic-mug
CM708-3192;ORPHAN;CM708-3192;;;p-8155-red-ceramic-mug
CM708-43;ORPHAN;CM708-43;;;p-8112-maroon-ceramic-mug
CM708-579;ORPHAN;CM708-579;;;p-8205-teal-ceramic-mug
CM708-632;ORPHAN;CM708-632;;;p-8107-light-blue-ceramic-mug
CM708-640;ORPHAN;CM708-640;;;p-8227-yellow-ceramic-mug
CM708-755;ORPHAN;CM708-755;;;p-7846-aqua-ceramic-mug
CM710;FAMILY_PART;CM710*;;;p-6168-polar-camel-ringneck-tumblers-personalized
CM711;PRODUCT;CM711;Polar Camel 20 oz. Ringneck Tumbler;;p-6168-polar-camel-ringneck-tumblers-personalized
CM711BL;PART;CM711;;CM711;p-8848-polar-camel-small
CM711CR;PART;CM711;;CM711;p-8848-polar-camel-small
CM711DB;PART;CM711;;CM711;p-8848-polar-camel-small
CM711GR;PART;CM711;;CM711;p-8848-polar-camel-small
CM711GY;PART;CM711;;CM711;p-8848-polar-camel-small
CM711LB;PART;CM711;;CM711;p-8848-polar-camel-small
CM711LP;PART;CM711;;CM711;p-8848-polar-camel-small
CM711MR;PART;CM711;;CM711;p-8848-polar-camel-small
CM711OG;PART;CM711;;CM711;p-8848-polar-camel-small
CM711OR;PART;CM711;;CM711;p-8848-polar-camel-small
CM711PK;PART;CM711;;CM711;p-8848-polar-camel-small
CM711PU;PART;CM711;;CM711;p-8848-polar-camel-small
CM711RD;PART;CM711;;CM711;p-8848-polar-camel-small
CM711TL;PART;CM711;;CM711;p-8848-polar-camel-small
CM711WH;PART;CM711;;CM711;p-8848-polar-camel-small
CM711YW;PART;CM711;;CM711;p-8848-polar-camel-small
CM712;PRODUCT;CM712;Polar Camel 12 oz. Stemless Tumbler;;p-6356-polar-camel-stemless-wine-tumblers-personalized
CM712BK;PART;CM712;;CM712;p-8848-polar-camel-small
CM712BL;PART;CM712;;CM712;p-8850-polar-camel-medium
CM712DB;PART;CM712;;CM712;p-8850-polar-camel-medium
CM712GR;PART;CM712;;CM712;p-8850-polar-camel-medium
CM712GY;PART;CM712;;CM712;p-8850-polar-camel-medium
CM712LB;PART;CM712;;CM712;p-8850-polar-camel-medium
CM712LP;PART;CM712;;CM712;p-8850-polar-camel-medium
CM712MR;PART;CM712;;CM712;p-8850-polar-camel-medium
CM712OR;PART;CM712;;CM712;p-8850-polar-camel-medium
